id,trigger,conditions,script,text,options,notes
#ngc beginning stuff,,,,,,
ngcOasStartMenu,AddNewGameChoices,,"SetTooltip ngcOasStartPicked ""Multiple new different starting options are available from the mod Osiris Alliance.""",,"60:ngcOasStartPicked:On a pause, as you were traveling to the Osiris Alliance Territory...",
ngcOasStartPicked,NewGameOptionSelected,$option == ngcOasStartPicked,"OasNGCRepAdjustment
FireBest OasStartingSizeOption",...and now that you have arrived. You continue your life with your fleet of...,,
ngcOasPrintSizeOptions,OasStartingSizeOption,,,,"1:ngcOasFleetSize1:One ship
2:ngcOasFleetSize2:Two ships
3:ngcOasFleetSize3:Three ships
4:ngcOasFleetSize4:Four ships
5:ngcOasFleetSize5:Five ships
5:ngcOasFleetSize6:Six ships
5:ngcOasFleetSize7:Seven ships",
ngcOasFleetSize1,NewGameOptionSelected,$option == ngcOasFleetSize1,"$ngcOasShipsPicked=1
FireBest OasShipCatalogMain",,,
ngcOasFleetSize2,NewGameOptionSelected,$option == ngcOasFleetSize2,"$ngcOasShipsPicked=2
FireBest OasShipCatalogMain",,,
ngcOasFleetSize3,NewGameOptionSelected,$option == ngcOasFleetSize3,"$ngcOasShipsPicked=3
FireBest OasShipCatalogMain",,,
ngcOasFleetSize4,NewGameOptionSelected,$option == ngcOasFleetSize4,"$ngcOasShipsPicked=4
FireBest OasShipCatalogMain",,,
ngcOasFleetSize5,NewGameOptionSelected,$option == ngcOasFleetSize5,"$ngcOasShipsPicked=5
FireBest OasShipCatalogMain",,,
ngcOasFleetSize6,NewGameOptionSelected,$option == ngcOasFleetSize6,"$ngcOasShipsPicked=6
FireBest OasShipCatalogMain",,,
ngcOasFleetSize7,NewGameOptionSelected,$option == ngcOasFleetSize7,"$ngcOasShipsPicked=7
FireBest OasShipCatalogMain",,,
#ngc Ship catalog,,,,,,
ngcOasShipCatalogMain,OasShipCatalogMain,,"$ngcOasCatalog=SubCatalogs
FireAll OasShipOptions","Select the ships you own from the catalog.",,
ngcOasShipCatalogEscaped,NewGameOptionSelected,$option == ngcOasBackToCatalog,"$ngcOasCatalog=SubCatalogs
FireAll OasShipOptions",,,
ngcOasNextOptionDone,OasStartNextOptions,$ngcOasShipsPicked == 0,FireAll OasStartingBonusOption,,,
ngcOasNextOptionStillPicking,OasStartNextOptions,$ngcOasShipsPicked>0,"$ngcOasCatalog=SubCatalogs
FireAll OasShipOptions",,,
ngcOasOptionSubFrigates1,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,1:ngcOasSubCatalogFrig1:Frigates (Support/Cheap),
ngcOasOptionSubFrigates2,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,2:ngcOasSubCatalogFrig2:Frigates (Strong),
ngcOasOptionSubDestro1,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,3:ngcOasSubCatalogDestro1:Destroyers,
ngcOasOptionSubDestro2,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,4:ngcOasSubCatalogDestro2:Support Destroyers,
ngcOasOptionSubCruisers,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,5:ngcOasSubCatalogCruisers:Cruisers,
ngcOasOptionSubCarriers,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,6:ngcOasSubCatalogCarriers:Carriers,
ngcOasOptionSubCapitals,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,7:ngcOasSubCatalogCapitals:Capitals,
ngcOasOptionSubLogistics,OasShipOptions,$ngcOasCatalog == SubCatalogs,,,8:ngcOasSubCatalogLogistics:Logistics,
ngcOasShipCatalogMainEscape,OasShipOptions,$ngcOasCatalog!=SubCatalogs,SetShortcut ngcOasBackToCatalog "ESCAPE",,100:ngcOasBackToCatalog:Back to catalog,
ngcOasPickedSubFrigates1,NewGameOptionSelected,$option == ngcOasSubCatalogFrig1,"$ngcOasCatalog=Frig2
FireAll OasShipOptions",,,
ngcOasPickedSubFrigates2,NewGameOptionSelected,$option == ngcOasSubCatalogFrig2,"$ngcOasCatalog=Frig
FireAll OasShipOptions",,
ngcOasPickedSubDestro1,NewGameOptionSelected,$option == ngcOasSubCatalogDestro1,"$ngcOasCatalog=Destro
FireAll OasShipOptions",,,
ngcOasPickedSubDestro2,NewGameOptionSelected,$option == ngcOasSubCatalogDestro2,"$ngcOasCatalog=Destro2
FireAll OasShipOptions",,,
ngcOasPickedSubCruisers,NewGameOptionSelected,$option == ngcOasSubCatalogCruisers,"$ngcOasCatalog=Cruiser
FireAll OasShipOptions",,,
ngcOasPickedSubCarriers,NewGameOptionSelected,$option == ngcOasSubCatalogCarriers,"$ngcOasCatalog=Carrier
FireAll OasShipOptions",,,
ngcOasPickedSubCapitals,NewGameOptionSelected,$option == ngcOasSubCatalogCapitals,"$ngcOasCatalog=Capital
FireAll OasShipOptions",,,
ngcOasPickedSubLogistics,NewGameOptionSelected,$option == ngcOasSubCatalogLogistics,"$ngcOasCatalog=Logistic
FireAll OasShipOptions",,,
#,,,,,,
ngcOasOptionCalmella,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasCalmella ""A slow frigate sized AMEG tanker. Combat capable.""",,1:ngcOasCalmella:Calmella-class Tanker,
ngcOasCalmella,NewGameOptionSelected,$option == ngcOasCalmella,"NGCAddShip oas_calmella_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionRadiator3,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasRadiator3 ""A Troop Transporter version of Radiator, not that usable in combat""",,2:ngcOasRadiator3:Radiator Mk.III-class Troop Transport,
ngcOasRadiator3,NewGameOptionSelected,$option == ngcOasRadiator3,"NGCAddShip toopo_trooperboi_starter
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionRaccoon,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasRaccoon ""A bit more armored and weaponized Kite-like skirmisher.""",,3:ngcOasRaccoon:Raccoon-class Frigate,
ngcOasRaccoon,NewGameOptionSelected,$option == ngcOasRaccoon,"NGCAddShip oas_raccoon_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionPolecat,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasPolecat ""A fast ship with medium missile mount. Weakly armed otherwise""",,4:ngcOasPolecat:Polecat-class Frigate,
ngcOasPolecat,NewGameOptionSelected,$option == ngcOasPolecat,"NGCAddShip oas_polecat_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionOpossum,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasOpossum ""Good logistical capability. Opossum can waste enemies time and the drones are even more annoying than shepherds due to EMP damage.""",,5:ngcOasOpossum:Opossum-class Drone Tender,
ngcOasOpossum,NewGameOptionSelected,$option == ngcOasOpossum,"NGCAddShip oas_opossum_support
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionDramster,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasDramster ""Low tech Omen with bigger mounts than it can comfortably utilize""",,6:ngcOasDramster:Dramster-class Frigate,
ngcOasDramster,NewGameOptionSelected,$option == ngcOasDramster,"NGCAddShip toopo_dramster_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionRadiator,OasShipOptions,"$ngcOasCatalog == Frig2","SetTooltip ngcOasRadiator ""Pure glass cannon, very good flux stats and a medium energy mount. No shield.""",,7:ngcOasRadiator:Radiator-class Frigate,
ngcOasRadiator,NewGameOptionSelected,$option == ngcOasRadiator,"NGCAddShip toopo_miningboi_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
#,,,,,,
ngcOasOptionWombat,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasWombat ""A bulky carrier in a frigate size. You can abuse the mounts and bay to really punch up.""",,8:ngcOasWombat:Wombat-class Carrier,
ngcOasWombat,NewGameOptionSelected,$option == ngcOasWombat,"NGCAddShip oas_wayfarer2_starter
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionMuskrat,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasMuskrat ""A durable and efficient workhorse. Has two medium ballistic turret mounts.""",,9:ngcOasMuskrat:Muskrat-class Frigate,
ngcOasMuskrat,NewGameOptionSelected,$option == ngcOasMuskrat,"NGCAddShip oas_viper_starter
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionEraser,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasEraser ""The better Cerberus for your low tech needs. Has Accelerated Ammo Feed(AAF) system.""",,10:ngcOasEraser:Eraser-class Frigate,
ngcOasEraser,NewGameOptionSelected,$option == ngcOasEraser,"NGCAddShip toopo_eraser_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionEraserOA,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasEraserOA ""Osiris Alliance version of the Eraser. Has Ballistic Maneuver system instead of AAF""",,11:ngcOasEraserOA:Eraser (OA)-class Frigate,
ngcOasEraserOA,NewGameOptionSelected,$option == ngcOasEraserOA,"NGCAddShip oas_eraser_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionHen,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasHen ""Heavily armored, its Missile Autoforge keeps the missiles coming.""",,12:ngcOasHen:Hen-class Missile Frigate,
ngcOasHen,NewGameOptionSelected,$option == ngcOasHen,"NGCAddShip oas_hen_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionMarten,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasMarten ""Nicely armored phase ship. It can be really annoying with the right weapons.""",,13:ngcOasMarten:Marten-class Phase Frigate,
ngcOasMarten,NewGameOptionSelected,$option == ngcOasMarten,"NGCAddShip oas_marten_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
ngcOasOptionEgg,OasShipOptions,"$ngcOasCatalog == Frig","SetTooltip ngcOasEgg ""Works the same as Eagle, beams and kiting go a long way unless you got better options for the energy mounts.""",,14:ngcOasEgg:Egg-class Heavy Frigate,
ngcOasEgg,NewGameOptionSelected,$option == ngcOasEgg,"NGCAddShip toopo_egg_standard
$ngcOasShipsPicked--
FireBest OasStartNextOptions",,,
