id,type,text1,text2,text3,notes
oas_pullet,SHIP,"The thankless job of a freighter captain amidst a war fleet is a tiny bit easier aboard this heavily armed freighter class. The Pullet is a cheap, long-forgotten domain freighter design that lost its job to better alternatives during the more peaceful times. The simple frame hull is easily reconfigured to militaristic needs by able hands.

The blueprint was not readily available around the Persean sector after the collapse. The hull blueprint resurfaced from the tech mines of the Osiris Alliance.",,,
oas_raccoon,SHIP,This lightweight attack frigate can act as a decoy against larger vessels. Anyone not respecting Raccoon enough will find pieces missing from the aft. A good battle plan should reduce 1-on-1 brawls as it's one environment where Raccoon is lacking. Extended deployments lower the statistical chance of survival.,,,
oas_narwhal,SHIP,"Sibling design of the Unicorn-class, Narwhal is a much cheaper and simpler tool, built mainly to haul cargo during less peaceful times. It is a legacy tool that has found a fit for the current climate. A desperate fleet captain can turn it into a serviceable attack vessel.

The blueprint was not readily available around the Persean sector after the collapse. The hull blueprint resurfaced from the tech mines of the Osiris Alliance.",,,
oas_basalt,SHIP,"A mighty, less-known cruiser-sized freighter, the Basalt brings an impressive logistical capability to a fleet. It comes with a surprising amount of weapon mounts for a heavy freighter and seems capable of using them if needed.

The blueprint was not readily available around the Persean sector after the collapse. The hull blueprint resurfaced from the tech mines of the Osiris Alliance.",,,
oas_marten,SHIP,"A phase missile striker, this class wields earlier phase coil design more akin to the old phase prototypes. The logistic capability of the ship is a clear sign of how the earlier phase ships were still searching for their purpose. Much like Gremlin-class, Marten-class ships are far from a favorite designation for any crew member.",,,
toopo_fallen_eagle,SHIP,"An eagle with its wings cut off. Modified to terrifying lengths, this is a much faster and deadlier version of the standard Eagle class ship. The modifications made by the pirates seem complex, and this ship must be one-of-a-kind.",,,
toopo_solace,SHIP,Solace-class was the secret of the Domain administrators meant to protect the Domain against rebellious Onslaught captains. Solace is a faster capital ship equipped with a laser array able to penetrate the thickest of armors. How this very rare blueprint found its way to the Persean sector is a mystery.,,,
toopo_merc_cerb,SHIP,This ship looks like a baffling wonder built on top of what seems to be a Cerberus-class hull. Everything seems to be unique and custom-made to fit together. The ship must've cost a fortune considering the technology. The top minds of the Persean sector must have had their hands on it.,,,
toopo_blockman,SHIP,"From its blocky first appearance, Blockman-class looks like a sturdy freighter. Instead, you get a light combat cruiser that can act its name and cut the opposition into chunks of meat, albeit more slowly than usual. Blockman is a defensive powerhouse that will outlast rather than outgun the enemy.",,,
oas_hexagon,SHIP,The Hexagon class is a mining station turned into a fully-fledged carrier/battleship. The original intent was to provide mining companies with a mobile base of operations as they traveled and moved along asteroid belts. The massive cargo bay can fit a ton of loot and supplies. The class is an excellent option for anyone wanting to spend time salvaging and exploring the outer edges of the sector. Or for destroying the local competition.,,,
oas_spectator,SHIP,"Unusually fragile and agile destroyer for the alliance, the Spectator can be best described as a glass cannon. The Spectator can control the spacing and range of the battle. It is a valuable tool for any fleet wanting to go toe to toe against more mobile force.",,,
toopo_murderer,SHIP,It is only known as the Slayer-class carrier. Its origin remains a mystery. Its history seems to have evaporated during the collapse. The only thing remaining is the actual ship and its blueprint. Slayer is a sturdy carrier with enough ballistic mounts to brawl in melee. An aggressive follow-up after a wave of fighters or bombers brings most enemies to their knees.,,,
oas_magma,SHIP,"Rarely can you find such a pure vessel of war as the Magma-class cruiser. The class is a heavily armored military version of the Basalt Heavy Freighter hull. The big cargo hull got replaced with troop quarters and larger weapon mounts. It can act in the dual role of artillery/troop transport platform. After bounding the enemy with its weapon artillery, it can deploy a company full of marines with supporting equipment in atmospheric conditions. The slow hunk of armor can rarely survive engagements solo and tend to require escorting craft so the fleet can fully benefit from its immense firepower.",,,
oas_calmella,SHIP,"This class seems like a tanker disguised as a combat frigate. Calmella can carry a Dram's worth of antimatter fuel while carrying a deadly surprise for anyone daring to meddle with it. Antimatter weaponry is built-in straight into the hull, fueled directly from the tanks.",,,
oas_blaster,SHIP,"A warship-looking mining tool. The look is a marketing gimmick to let anyone captaining the Blaster think they are a warship captain. Surprisingly though, it does make for a great warship. Blaster has an ample power core capable of running numerous weapon mounts found in most post-collapse setups of the ship.",,,
oas_wayfarer2,SHIP,"One of the primary reasons why the alliance is still independent of the Hegemony. Wombat has a rare frigate size nanoforge, able to create a wing from most LPCs. Destroyer level armor in addition to composite mounts make Wombat one tough nut to crack. The ship can be used in many roles, from acting as command ship in fast a moving wolfpack, to a piece in a large scale defence formation.",,,
